"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L";"Category";"Restricted-Category";"Summary";"Language"
"0553347594";"McDonald's: Behind the Arches";"John F. Love";"1995";"Bantam";"http://images.amazon.com/images/P/0553347594.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg";"['Business & Economics']";"['Business & Economics']";"Discusses the people, the strategies, and the innovations that turned
a hamburger stand into a multi-billion-dollar corporation that
revolutionized an industry and influenced the culture of America.";"en"
"0671621009";"Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!";"Robert G. Allen";"1986";"Fireside";"http://images.amazon.com/images/P/0671621009.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671621009.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg";"['Business & Economics']";"['Business & Economics']";"Discusses principles for creating wealth includes: a wealthy mindset,
an automatic pilot principle, and a win/win philosophy principle.";"en"
"067976397X";"Corelli's Mandolin : A Novel";"LOUIS DE BERNIERES";"1995";"Vintage";"http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"The idyllic world of the Greek island of Cephallonia is forever
changed by the inexorable changes of World War II, as the inhabitants
struggle to cope with the Axis invasion and occupation";"en"
"0684822733";"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans";"Pam Proctor";"1996";"Fireside";"http://images.amazon.com/images/P/0684822733.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg";"";"['Miscellaneous 2']";"";""
"0786868716";"The Five People You Meet in Heaven";"Mitch Albom";"2003";"Hyperion";"http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"With a timeless tale, appealing to all, this is a book that readers of
fine fiction, and those who loved Tuesdays with Morrie, will treasure.";"en"
"8472238822";"Tu Nombre Escrito En El Agua (La Sonrisa Vertical)";"Irene Gonzalez Frei";"2002";"Tusquets";"http://images.amazon.com/images/P/8472238822.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/8472238822.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg";"";"['Miscellaneous 4']";"";""
"0671864769";"Relics (Star Trek: The Next Generation)";"Michael Jan Friedman";"1992";"Star Trek";"http://images.amazon.com/images/P/0671864769.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671864769.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"The starship Enterprise rescues Captain Montgomery Scott, who has been
missing in space for seventy-five years and finds that the world has
changed beyond his recognition";"en"
"0671521519";"Bless The Beasts And Children : Bless The Beasts And Children";"Glendon Swarthout";"1995";"Pocket";"http://images.amazon.com/images/P/0671521519.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg";"";"['Miscellaneous 6']";"";""
"0440222303";"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)";"Neal Barrett Jr.";"1996";"Dell";"http://images.amazon.com/images/P/0440222303.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0440222303.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"When conflicts between rivaling cultures aboard Babylon 5 escalate to
riotous proportions, security chief Garibaldi discovers a link between
a station-wide epidemic in nightmares and a strange alien presence.
Original.";"en"
"0312953453";"Blood Oath";"David Morrell";"1994";"St. Martin's Press";"http://images.amazon.com/images/P/0312953453.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg";"";"['Miscellaneous 8']";"";""
"0446608653";"The Alibi";"Sandra Brown";"2000";"Warner Books";"http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"In this suspenseful Southern thriller and #1 New York Times
bestseller, an ambitious prosecutor investigates a high-stakes case
after Charleston&#39;s most powerful real estate magnate is murdered.";"en"
"0446612545";"The Beach House";"James Patterson";"2003";"Warner Books";"http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg";"";"['Miscellaneous 10']";"";""
"0446612618";"A Kiss Remembered";"Sandra Brown";"2003";"Warner Books";"http://images.amazon.com/images/P/0446612618.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg";"";"['Miscellaneous 1']";"";""
"0451208080";"The Short Forever";"Stuart Woods";"2003";"Signet Book";"http://images.amazon.com/images/P/0451208080.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451208080.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Arriving in London to find a young woman, who has been seen in the
company of an unsavory gentleman, for a client, Stone Barrington
stumbles upon a deadly rivalry between two spies and is implicated in
a horrifying double murder.";"en"
"0553584383";"Dead Aim";"IRIS JOHANSEN";"2004";"Bantam Books";"http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"During a gut-wrenching assignment photographing a disaster,
photojournalist Alex Graham begins to suspect that the
&quot;natural&quot; catastrophe had really been a case of premeditated
mass murder, but when the former military assassin assigned to ...";"en"
"0671027360";"Angels & Demons";"Dan Brown";"2001";"Pocket Star";"http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg";"";"['Miscellaneous 4']";"";""
"0812575954";"The Deal";"Joe Hutsko";"2000";"Tor Books (Mm)";"http://images.amazon.com/images/P/0812575954.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812575954.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812575954.01.LZZZZZZZ.jpg";"";"['Miscellaneous 5']";"";""
"0316735736";"All He Ever Wanted: A Novel";"Anita Shreve";"2004";"Back Bay Books";"http://images.amazon.com/images/P/0316735736.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0316735736.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Written with the intelligence and grace that are the hallmarks of
Anita Shreve&#39;s bestselling novels, this gripping tale of desire,
jealousy, and loss is peopled by unforgettable characters as real as
the emotions that bring them together.";"en"
"0743439740";"Every Breath You Take : A True Story of Obsession, Revenge, and Murder";"Ann Rule";"2002";"Pocket";"http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg";"";"['Miscellaneous 7']";"";""
"0345372700";"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground";"LEWIS GRIZZARD";"1991";"Ballantine Books";"http://images.amazon.com/images/P/0345372700.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg";"['Humor']";"['Humor']";"&quot;Lewis Grizzard is one of America&#39;s zaniest writers.&quot;
THE ORLANDO SENTINEL Funny, sad, outrageous, irresistible, and
unforgettably true, here is Lewis Grizzard&#39;s one-way, non-stop
climb to the top of the newspaper heap.";"en"
"0380619458";"The Mosquito Coast";"Paul Theroux";"1990";"Harper Mass Market Paperbacks (Mm)";"http://images.amazon.com/images/P/0380619458.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0380619458.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg";"['Americans']";"['Americans']";"An eccentric American inventor moves his family to the jungles of
Central America in hopes of finding a better life";"en"
"0446325805";"If Love Were Oil, I'd Be About a Quart Low";"Lewis Grizzard";"1994";"Warner Books (Mm)";"http://images.amazon.com/images/P/0446325805.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446325805.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg";"";"['Miscellaneous 10']";"";""
"0451406923";"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims";"Charles Hickey";"1996";"Onyx Books";"http://images.amazon.com/images/P/0451406923.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451406923.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451406923.01.LZZZZZZZ.jpg";"['Infanticide']";"['Miscellaneous 1']";"&quot;The true story of a murderous mother and five innocent
victims.&quot; - from front cover.";"en"
"0671042858";"The Girl Who Loved Tom Gordon";"Stephen King";"2000";"Pocket";"http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg";"";"['Miscellaneous 2']";"";""
"0743249992";"Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions";"Ben Mezrich";"2003";"Free Press";"http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg";"['Biography & Autobiography']";"['Biography & Autobiography']";"Recounts the story of how a notorious gang of MIT blackjack savants
devised and received backing for a system for winning at the
world&#39;s most sophisticated casinos, an endeavor that earned them
more than three million dollars.";"en"
"0840734530";"The Oneprince (The Redaemian Chronicles, Book 1)";"Bill Hand";"1992";"Thomas Nelson Inc";"http://images.amazon.com/images/P/0840734530.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0840734530.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0840734530.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"This enchanting work of fantasy leads readers on a stirring quest
through enchanted lands with the hapless but good-hearted King Quad.";"en"
"0425184226";"The Sum of All Fears";"Tom Clancy";"2002";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425184226.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Peace may finally be at hand in the Middle East - as Deputy Director
of the CIA Jack Ryan lays the groundwork for a peace plan that could
end centuries of conflict.";"en"
"0375500766";"Care Packages : Letters to Christopher Reeve from Strangers and Other Friends";"DANA REEVE";"1999";"Random House";"http://images.amazon.com/images/P/0375500766.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg";"['Biography & Autobiography']";"['Biography & Autobiography']";"But Care Packages is not only about the &quot;strangers and other
friends&quot; who have had such a profound effect on the Reeves.With
an introduction to each chapter by Dana Reeve, it is also the story of
a marriage and a family facing the ultimate ...";"en"
"9724119378";"O Deus Das Pequenas Coisas";"Roy";"1998";"Edicoes Asa";"http://images.amazon.com/images/P/9724119378.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg";"";"['Miscellaneous 9']";"";""
"0451205197";"Lady in Green/Minor Indiscretions (Signet Regency Romance)";"Barbara Metzger";"2002";"Signet Book";"http://images.amazon.com/images/P/0451205197.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg";"";"['Miscellaneous 10']";"";""
"0060929790";"One Hundred Years of Solitude";"Gabriel Garcia Marquez";"1998";"Perennial";"http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"The rise and fall, birth and death, of the mythical town of Macondo
through the history of the Buendía family.";"en"
"0060976845";"Little Altars Everywhere: A Novel";"Rebecca Wells";"1996";"Perennial";"http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Don&#39;t miss Little Altars Everywhere, the New York Times
bestselling companion novel that introduces the Ya-Yas and is also a
basis for the film.";"en"
"0061099325";"Coyote Waits (Joe Leaphorn/Jim Chee Novels)";"Tony Hillerman";"1992";"HarperTorch";"http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Jim Chee is torn between his role as the prosecution&#39;s star
witness against the man charged with killing his best friend and his
own investigation of the crime. Reprint";"en"
"0671004573";"Before I Say Good-Bye";"Mary Higgins Clark";"2001";"Pocket";"http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg";"";"['Miscellaneous 4']";"";""
"0446601640";"Slow Waltz in Cedar Bend";"Robert James Waller";"1994";"Warner Books";"http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Restless loner and motorcycle rider Michael Tillman is unable to
resist his powerful feelings for Jellie Braden, a free spirit trapped
in a passionless marriage. By the author of The Bridges of Madison
County. Reprint.";"en"
"0330484516";"Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title)";"Rachel Harris";"2001";"Pan Macmillan";"http://images.amazon.com/images/P/0330484516.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg";"";"['Miscellaneous 6']";"";""
"038572179X";"Atonement : A Novel";"IAN MCEWAN";"2003";"Anchor";"http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"In 1935 England, thirteen-year-old Briony Tallis witnesses an event
involving her sister Cecilia and her childhood friend Robbie Turner,
and she becomes the victim of her own imagination, which leads her on
a lifelong search for truth and ...";"en"
"0393020371";"Next: The Future Just Happened";"Michael Lewis";"2001";"W.W. Norton & Company";"http://images.amazon.com/images/P/0393020371.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0393020371.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg";"";"['Miscellaneous 8']";"";""
"1900850303";"The Angelic Darkness";"Richard Zimler";"1999";"Arcadia Books";"http://images.amazon.com/images/P/1900850303.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1900850303.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1900850303.01.LZZZZZZZ.jpg";"['Cabala']";"['Miscellaneous 9']";"With The Angelic Darkness, Zimler returns with a haunting story of
eroticism and redemption, a novel whose hypnotic combination of the
ordinary with the fantastic, the mundane with the mythological, evokes
the power of John Fowles&#39;s The ...";"en"
"1903019699";"The Soulbane Stratagem";"Norman Jetmundsen";"2000";"John Hunt Publishing, Ltd.";"http://images.amazon.com/images/P/1903019699.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1903019699.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1903019699.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"An American student attending Oxford travels to a Mediterranean island
and on to America&#39;s deep south comes face to face with a demon.";"en"
"0345425294";"Gangster";"Lorenzo Carcaterra";"2002";"Fawcett Books";"http://images.amazon.com/images/P/0345425294.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345425294.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"By taking Gabe under his wing and teaching him everything he knows,
Angelo Vestieri will learn, in the winter of his life, which is
greater: his love for the boy he cherishes, or his need to be a
gangster and to live by the savage rules he ...";"en"
"0451410319";"Hush";"Anne Frasier";"2002";"Onyx Books";"http://images.amazon.com/images/P/0451410319.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ...";"en"
"0553583468";"Whisper of Evil (Hooper, Kay. Evil Trilogy.)";"Kay Hooper";"2002";"Bantam Books";"http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"As a series of grisly murders terrorizes the small, backwoods town of
Silence, Nell Gallagher, a young woman with special psychic gifts,
holds the power to unravel the mystery, uncover the dark secrets that
could destroy the town, and find ...";"en"
"8420639133";"Temor y Temblor";"Soren Kierkegaard";"2001";"Alianza";"http://images.amazon.com/images/P/8420639133.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/8420639133.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg";"";"['Miscellaneous 7']";"";""
"8476409419";"Estudios sobre el amor";"Jose Ortega Y Gaset";"2001";"Downtown Book Center";"http://images.amazon.com/images/P/8476409419.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/8476409419.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg";"['Literary Criticism']";"['Literary Criticism']";"Es lo que para Ortega significa la definición platónica del amor como
un &quot;deseo de engendrar belleza&quot;, la aspiración al ser en
plenitud, al ser en forma. Eso es lo que constituye el ideal de cada
cosa, y no es exclusivamente nuestro.";"es"
"0380778556";"Rebecca";"Daphne Du Maurier";"1994";"Avon";"http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Danvers -- still loyal. And as an eerie presentiment of evil tightened
around her heart, the second Mrs. de Winter began her search for the
real fate of Rebecca...for the secrets of Manderley.";"en"
"0451525221";"Scarlet Letter";"Nathaniel Hawthorne";"1993";"Signet Book";"http://images.amazon.com/images/P/0451525221.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451525221.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg";"";"['Miscellaneous 3']";"";""
"0002740230";"Keep It Simple: And Get More Out of Life";"Nick Page";"1999";"Trafalgar Square";"http://images.amazon.com/images/P/0002740230.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg";"['Self-Help']";"['Self-Help']";"Here is a guide to make life simpler, easier and more enjoyable.";"en"
"0385336772";"Diary of a Mad Mom-To-Be";"Laura Wolf";"2003";"Delta";"http://images.amazon.com/images/P/0385336772.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385336772.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Even though she is out of work and her apartment is too small,
newlywed Amy Thomas Stewart finds herself longing to have a baby.";"en"
"0440949424";"Locked in Time (Laurel Leaf Books)";"LOIS DUNCAN";"1986";"Laure Leaf";"http://images.amazon.com/images/P/0440949424.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg";"['Juvenile Fiction']";"['Juvenile Fiction']";"When Nore Robbins visits her new stepmother, brother, and sister in
Louisiana, she is unnerved by the feeling of evil and eerie threats
that pervades the plantation. Reissue.";"en"
"0505524996";"Contact";"Susan Grant";"2002";"Love Spell";"http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"An airline officer on a trans-Atlantic flight finds her ship hijacked
by aliens and a member of her crew the only one she can trust—and
eventually love.";"en"
"0140252800";"The Brimstone Wedding";"Barbara Vine";"1997";"Penguin Books Ltd";"http://images.amazon.com/images/P/0140252800.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg";"";"['Miscellaneous 10']";"";""
"0451452755";"The Catswold Portal";"Shirley Rousseau Murphy";"1993";"Roc";"http://images.amazon.com/images/P/0451452755.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451452755.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451452755.01.LZZZZZZZ.jpg";"";"['Miscellaneous 1']";"";""
"0812575482";"Through Wolf's Eyes (Wolf)";"Jane Lindskold";"2002";"Tor Fantasy";"http://images.amazon.com/images/P/0812575482.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0812575482.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"That, she understands just fine. She&#39;s not your standard-issue
princess-and this is not your standard-issue fairy tale.";"en"
"044651747X";"Puerto Vallarta Squeeze";"Robert James Waller";"1995";"Warner Books";"http://images.amazon.com/images/P/044651747X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"The author of the blockbuster The Bridges of Madison County blends
passion and adventure in the story of an American novelist in Mexico
and his young lover, who take a trip with a killer.";"en"
"0060801263";"Tree Grows In Brooklyn";"Betty Smith";"1988";"Harpercollins Publisher";"http://images.amazon.com/images/P/0060801263.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg";"['American fiction']";"['American fiction']";"A poignant story of childhood and family relationships.";"en"
"0061030147";"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think";"Cybill Shepherd";"2001";"Avon Books";"http://images.amazon.com/images/P/0061030147.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg";"['Biography & Autobiography']";"['Biography & Autobiography']";"Scott Foresman Reading Street ((c)2008) components for Grade 5.";"en"
"0140250964";"Snow Angels";"Stewart O'Nan";"1995";"Penguin Books";"http://images.amazon.com/images/P/0140250964.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"Weaves together two stories in the account of how fifteen-year-old
Arthur Parkinson&#39;s family fell apart and the life and death of
Annie Marchand, a young woman Arthur adored as a child";"en"
"0446527165";"Wish You Well";"David Baldacci";"2000";"Warner Books";"http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg";"";"['Miscellaneous 7']";"";""
"0671461494";"The Hitchhiker's Guide to the Galaxy";"Douglas Adams";"1982";"Pocket";"http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg";"['Humorous stories']";"['Miscellaneous 8']";"After Earth is demolished to make way for a new hyperspatial
expressway, Arthur Dent begins to hitch-hike through space.";"en"
"0385337639";"Crow Lake (Today Show Book Club #7)";"Mary Lawson";"2003";"Delta";"http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg";"['FICTION']";"['FICTION']";"Kate Morrison, orphaned at the age of seven, grows up seeing her
brilliant older brother Matt&#39;s failure to further his education as
a tragedy, and feeling somewhat guilty about her own accomplishments,
and it is not until years later that ...";"en"
"039575514X";"My Antonia";"Willa Cather";"1995";"Mariner Books";"http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg";"['Fiction']";"['Fiction']";"The reminiscences of a New York lawyer, Jim Burden, about his boyhood
in Nebraska, particularly a young Bohemian girl named Antonia
Shimerda, are set against the backdrop of the American assimilation of
immigrants.";"en"
"0451206673";"Pen Pals";"Olivia Goldsmith";"2002";"Signet Book";"http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg";"";"['Miscellaneous 1']";"";""
